标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
乐居苑~、全明两房采光好~、中层楼~、安静空气清新,186,26953,海珠,2室1厅1卫,69.01㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,简装,,,,小区出来200米到达广白新一城~、500米到江南西步行街~、800米到富力海珠城、乐峰广场等等~、生活配套完善。银行：工商银行~、民生银行~、中国银行~、汇丰银行等。
凤阳苑 地铁口步行50米~、采光通风很好 新楼龄,130,22609,海珠,2室1厅1卫,57.5㎡,平层,暂无数据,高楼层(共9层),暂无数据,52.61㎡,南,钢混结构,其他,,,范围内有两家三甲医院广医二院和珠江医院。地铁2号线江泰站以及在建的11号线（预计2024年通车）。附件三个时尚娱乐广场润政广场燕汇广场。燕子岗运动场等等,临江南大道南~、西临南泰路~、北上昌岗中路~、南下工业大道。小区门口2号线江泰路地铁站一战换成8号线昌岗地铁站~、以及在建11号线广州环城站。出行方便~、四通八达
马赛克外墙 中间楼层~、不临街~、配套成熟,70,25354,海珠,2室1厅1卫,27.61㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,家乐福、市场有：堑口市场~、江宝菜市场~、医院：市红会医院、海珠区中医医院银行：中国银行、中国农业银行、中国工商银行、中国建设银行、光大银行其他：天一酒店、南园酒家、汇景酒家,交通出行：近市二宫地铁站公交站：5路;10路;16路;25路;183路;768路..
广州大道南住宅一房 高层望小蛮腰 可明火 业主诚心卖,165,36153,海珠,1室1厅1卫,45.64㎡,平层,塔楼,中楼层(共29层),暂无数据,35.29㎡,北,钢混结构,其他,,有,楼下菜市场。工商银行、农业银行、农村信用社商场：丽影广场、合生广场、敦和城医院：海员医院、117医院、江南医院、中医二院南院,楼下就是公交站：敦和站~、途径线路有882快线~、139、522、122、488等24条线路~、地铁：客村站
锦丽居三期南向三房 产权清晰近地铁 高楼层视野无遮挡,417,46934,海珠,3室2厅1卫,88.85㎡,平层,塔楼,高楼层(共25层),暂无数据,暂无,南,钢混结构,简装,,有,商场：海珠新都荟、华润；邮局：鸣翠邮政营业厅；银行：中国银行、农业银行、交通银行、建设银行、招商银行、邮政储蓄；医院：中山二院南院（孙逸仙）~、石溪中医院~、珠江医院金碧花园交通路线,公交5、35、70、80、129、263、273、299、308、546、836、822、地铁二号线以及在建中10号线东晓南站。交通四通八达地理位置优越~、可到南洲接驳广佛线
双地铁 电梯平层 实用一房一厅 望花园安静视野好,105,22986,海珠,1室1厅1卫,45.68㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东北,钢混结构,其他,,有,孙逸仙附属第二医院南院500米~、沃尔玛200米~、海珠新都会500米~、华润家500米~、大型美食街400,东晓南南站900米2号线和10号线的中转站~、南洲站600米~、2号线和广佛线的中转站
厅出阳台 一层只有一户这个户型 高层视野景观很好,418,46909,海珠,2室1厅1卫,89.11㎡,平层,塔楼,高楼层(共30层),暂无数据,62.1㎡,西北,钢混结构,精装,,有,配套齐全~、商圈成熟~、500米以内有各大银行支行~、赤岗地铁站。1公里左右有客村地铁站、磨碟沙公园、影城~、有丽影广场~、沃尔玛~、广东省第二人民医院~、四二一医院~、还有大型的娱乐场~、KTV~、肯德基等,交通方便：离八号线赤岗地铁站C2出口312米左右。楼下是公交车站：赤岗路口站、赤岗总站~、264A、大学城专线3、37、206、139路~、14路~、189路~、206路~、270路~、252路~、131A路~、131B路等路线~、公交车站车辆可达天河、越秀等地区。
荔福路 2室1厅 东南,145,23388,海珠,2室1厅1卫,62㎡,平层,塔楼,高楼层(共8层),暂无数据,暂无,东南,钢混结构,精装,,,,
琶洲新村高层方正户型采光好三房两卫,598,54433,海珠,3室2厅2卫,109.86㎡,平层,塔楼,高楼层(共37层),暂无数据,暂无,北,钢混结构,其他,,有,：小区处于海珠区琶洲东板块~、珠江岸上小区~、三公园围绕~、小区密度低~、小区内有配套菜市场以及大型生活广场~、美食广场,交通出行：1、4号线和8号线双地铁交汇；2有轨观光电车琶洲塔站3、11条公交线路经过琶洲村站（137路、229路、262路、564路、139路、583路大学城3线、507路、461路、505路、20路）4琶洲科韵路新港路阅江路琶洲大桥等交通干道交处
晓港西马路 2室1厅 南,225,35333,海珠,2室1厅1卫,63.68㎡,平层,板楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,简装,,,,
雅居乐海珠小雅 3室2厅 南 北,430,48621,海珠,3室2厅1卫,88.44㎡,平层,塔楼,高楼层(共33层),暂无数据,69.58㎡,南北,钢混结构,精装,,有,,
小两房~、低楼层~、东向无遮挡~、采光好,158,28587,海珠,2室1厅1卫,55.27㎡,平层,塔楼,低楼层(共9层),暂无数据,49.17㎡,东,钢混结构,其他,,有,商场:四季天地珠影星光城丽影广场五羊购物广场、新南方购物(滨江东路)、佳佳美商场医院:广东省第二人民医院、四二一医院赤岗街社区卫生服务、平安大药房、赤岗慢性医疗门诊站、纺织医院,公交车:江海大道中站~、途经线路包括14路、20路、37路、189路、270路。583.地铁：8号线赤岗站
空间大  精装修拎包入住 小高层居住舒适,330,43674,海珠,2室1厅1卫,75.56㎡,平层,塔楼,低楼层(共12层),暂无数据,65.98㎡,西北北,钢混结构,精装,,有,小区配套齐全最近的南燕学与小区紧紧相邻更加省心三级甲等南方医科大学珠江医院距离150米左右健康生活有保障小区350米范围内有三个大型商场一个公园润政广场科派燕汇广场庄头公园休闲娱乐有去处,交通方便~、步行约800米可达二号线-江泰路地铁站；步行约842米可达广佛线-燕岗地铁站；步行约853米可达八号线-宝岗大道地铁站；步行约90米可达公交站-燕翔路站~、途径221、527、967、992、夜55路车；步行约282米可达公交站-燕子岗站
凤阳苑 1997年房龄 地铁口步行50米 采光通风很好,150,26069,海珠,2室2厅1卫,57.54㎡,平层,暂无数据,高楼层(共9层),暂无数据,52.62㎡,东南,钢混结构,其他,,,范围内有两家三甲医院广医二院和珠江医院。地铁2号线江泰站以及在建的11号线（预计2024年通车）。附件三个时尚娱乐广场润政广场燕汇广场。燕子岗运动场等等,临江南大道南~、西临南泰路~、北上昌岗中路~、南下工业大道。小区门口2号线江泰路地铁站一战换成8号线昌岗地铁站~、以及在建11号线广州环城站。出行方便~、四通八达
珠江边 框架结构 南向全明三房 99%回头率,188,27121,海珠,3室1厅1卫,69.32㎡,平层,塔楼,低楼层(共7层),暂无数据,62.4㎡,东南北,钢混结构,其他,,,楼下即是鳌洲码头~、与越秀一江之隔就近有沙面公园、洲头咀公园,地铁：8号线同福西地铁站一站到文化公园站可换成六号线三站到沙园换乘广佛线地处人民桥旁边下楼出大院就是滨江公交滨江西站同福西站市红十字会医院站经过同福中的线路有10路~、16路~、183路~、25路~、270路~、530路B21路夜37路
双地铁 南北对流三房两卫 2012年楼龄,1010,80166,海珠,3室2厅2卫,125.99㎡,平层,平房,中楼层(共8层),暂无数据,暂无,南北,钢混结构,其他,,有,交通出行：地铁：8号线胜围站~、以及有轨电车。公交：229、137、262、762、夜66等~、出行方便。,小区距离玩胜围地铁20米左右~、有胜围广场~、保利广场、琶洲购物广场~、天幕广场~、吃喝玩乐一应俱全~、医疗设施距离800米左右有琶洲社区服务站、距离960米有广州海珠龙大医院
证过五唯一~、户型实用~、采光充足通风好~、配套设施齐全,368,34512,海珠,3室1厅2卫,106.63㎡,平层,塔楼,高楼层(共23层),暂无数据,暂无,西南,钢混结构,精装,,有,生活配套：综合商场~、苏宁电器~、华润~、新光~、海珠新都会广场~、餐饮：KFC~、麦当劳~、真功夫潮汕美食等。钱大妈等。市场：侨诚菜市场~、晓港湾菜市场。医院：中山二院南院（三甲医院）紫荆医院等。银行：中国银行~、工商银行、建设银行、农业银行,高铁站（广州南站）地铁：广州地铁二号线和广佛地铁线~、地铁10号线（建设中~、预计2025年投入使用）可通往天河~、越秀~、荔湾~、白云等区域~、便捷。公交：晓港湾总站~、途经路线包括551路、八八二路287路35路125路882路276路273路263路546路129路70路75路5路23路
原装电梯三房 条形砖外墙~、望花园不吵  厅出阳台,318,38790,海珠,3室2厅1卫,81.98㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,商场好又多国美苏宁电器电器V国C市家乐福C市V松园市场医院海珠区人民医院市红会医院邮局邮局银行中国银行农业银行工商银行建设银行光大银行其他天一酒店南园酒家汇景酒家海珠状元坊,公交车：基立村站~、途经线路包括93路、50路、14路、551路、192路、5路、129路、264路。地铁：地铁2号线江南西站E出口
鹭江地铁200米~、电梯平层入户~、高层采光好视野开阔,165,34592,海珠,2室1厅1卫,47.7㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,西南,钢混结构,精装,,有,医院：新海医院~、省荣军医院银行：中国银行~、建设银行工商银行中国农业银行光大中信市场：下渡路菜市场大江苑菜市场~、康乐村菜市场各大商场市华润盒马生鲜,公交（鹭江站）：4路~、178路~、188路~、182路~、190路~、197路~、208路~、211路~、263路~、264路~、505路~、53路~、80路~、822路~、823路~、247路~、266路。地铁：8号线鹭江站
框架结构~、自住装修~、通风采光好,168,30017,海珠,2室1厅1卫,55.97㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,东南,钢混结构,精装,,,交通配套有地铁广佛线/11号线燕岗地铁站800米~、8号线宝岗大道站900米~、2个公共汽车总站；距离乐峰广场1.3公里~、燕汇广场1.5公里~、购物交通都很方便。,交通方便~、接近城市主干道~、短距离出行可以骑共享单车~、稍远的可以坐公交地铁~、广佛线的燕岗站只有800米~、8号线宝岗大道地铁站900米~、通过换乘可以抵达广州各大区域~、楼下是公交站珠江医院站。
产权清晰 诚心出 加装电梯 通风采光好 方正实用,250,42039,海珠,2室1厅1卫,59.47㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,精装,,有,商场：信和广场、好又多chao市、永乐家电、澫宁chao市、燕汇广场、新一佳chao市；银行：工商银行、建设银行、农业银行、中国银行、交通银行、农村信用社；娱乐：国际影城、3原色、HAIRSALON、722吧、大众理发店；公园：庄头公园、晓港公园。,公交车：礼岗(省口腔医院)站~、途经线路包括13、86、87、178、180、186、192、244、244A、244短线、253、530、544、546、551、夜16、夜22和夜32~、地铁是：2和8号线昌岗地铁~、距离昌岗地铁E口只有700米。
凤凰新村地铁200米 框架结构 三房一厅~、南北对流,196,26898,海珠,3室1厅1卫,72.87㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,南北,钢混结构,其他,,,房子位于工业大道北~、步行凤凰新村地铁站200米~、800米可到太古仓广州文化公园南方大厦十三行上下九步行街商圈~、800米内有洲头咀公园福龙东菜市场工商银行红十字会医院等,8号线凤凰新村站~、8号线/广佛线沙园站；公交站：凤凰新村宝业路口公交站~、途经公交车有：10号、188号、226号、236号、288A号、288号、487号、521号、75号、780号、79号、989号、9号等
近地铁 配套成熟 通风透气采光好 双地铁,168,28350,海珠,2室1厅1卫,59.26㎡,平层,板楼,高楼层(共7层),暂无数据,暂无,北,钢混结构,其他,,,地铁配套；昌岗二号线八号线双地铁交通便利。商场配套；信和广场~、合生生活天地等。医疗配套；南方口腔医院广州医科大学附属第二医院等三甲综合医院。,地铁配套；昌岗二号线八号线双地铁交通便利。商场配套；信和广场~、合生生活天地等。医疗配套；南方口腔医院广州医科大学附属第二医院等三甲综合医院。
琶洲电商总部 标准三房 户型房子 安静望花园,230,29956,海珠,3室1厅1卫,76.78㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,西,钢混结构,简装,,,马路之隔就是南方医科中西医结合医院广东省第二人民医院、海军医院,门口就是公交车站~、两站到猎德~、139路、14路、189路、206路、20路、229路、252路、262路、264A、270路地铁8号线赤岗站~、赤岗12号线即将通车~、18号龙谭地铁15~、出行方便
户型方正~、9成使用率 交通出行便捷,128,30681,海珠,2室1厅1卫,41.72㎡,平层,塔楼,低楼层(共6层),暂无数据,暂无,西,钢混结构,其他,,,购物：赤岗购物步行街纵横广场珠影广场饮食：赤岗北路四季天地饮食广场艺园路饮食步行街麦当劳肯德基市政单位：广州市自来水公司、广州煤气公司医院：省二医、中西结合医院财厅：建设银行、农业银行,地铁站:客村站、赤岗站公交站:珠影站共有30多条线路可供你选择14路、37路、69路、(源江线131A路、131B路)、184路、190路、270路、226路、B7路、B7路快线、大学城专线、高峰路线：22路、39路、55路、59路、6路、74路夜车路线有：101路、29路
