交委小区 东南朝向 旺中带静 户型方正,118,23820,白云,2室1厅1卫,49.54㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东东南南,钢混结构,其他,,,购物越秀广源汇广场白云大型广场五号停机坪凯德云尚公园雕塑公园三泰公园还可以到白云山风景区医院中医学院第附属医院,地铁：2号线飞翔公园站公交：186、284、479、921、124、182总站还有175、179、181、189、199、210、241、24、257、265、273、278、298、32、38、46、540、60、63、810、34等公交客运站：广园客运站
二期带入户户型~、装修保养好~、满五一手,460,43664,白云,3室2厅2卫,105.35㎡,平层,塔楼,低楼层(共18层),暂无数据,86.61㎡,东东南,钢混结构,其他,,有,市场、商场、公交站、银行、医院、幼儿园等配套都完善~、成熟。银行：工行、建行、中行等；医院：一五七医院~、南方医院~、京溪社区医院等；商场：华润、广baibai货、摩登bai货、太阳城广场等,地铁站：3号线北延线同和站C出口（距离小区400米）公交：16路、B6路、B6路快线、56路、179路、241路、504路、502路、804路、136路、219路、862路、862B路、832路、126路、136路、836路、83路、701路、560路、833路
保利紫云 3室2厅 东,339,37339,白云,3室2厅1卫,90.79㎡,平层,塔楼,低楼层(共32层),暂无数据,暂无,东,钢混结构,精装,,有,,
独立大露台有60方左右~、纯南向采光通透大四房 精装修,338,34025,白云,4室2厅1卫,99.34㎡,平层,塔楼,低楼层(共9层),暂无数据,89.75㎡,东南南,钢混结构,精装,,,广园新村好又多美食：悠悠乐美食~、聚友源~、湘村馆。(省一级)银行：银柜KTV~、咏乐会ktv。健身房。,盈翠华庭公交站：127/245/36/841/265等各大公交线路。地铁二号线飞翔公园~、即将开通的12号线景云路站。。。。
富力半岛 2室1厅 东南,170,26243,白云,2室1厅1卫,64.78㎡,平层,塔楼,中楼层(共7层),暂无数据,57.63㎡,东南,钢混结构,其他,,,,
云山诗意 三房两卫 望园林 视野景观好,420,33488,白云,3室2厅2卫,125.42㎡,平层,塔楼,中楼层(共11层),暂无数据,101.07㎡,东东北,钢混结构,简装,,有,,
白云山脚下 交通方便 环境优美 阳台可望白云山,360,39259,白云,3室1厅1卫,91.7㎡,平层,塔楼,低楼层(共9层),暂无数据,78.47㎡,北,钢混结构,其他,,有,,小区门口有大金钟公交车站~、127.223.245.891.26538.125路车可达广州各区~、旁边有地铁11号线大金钟路站~、交通方便
岭南新世界  高层东南向三房  阳光通风好,450,42361,白云,3室2厅2卫,106.23㎡,平层,塔楼,高楼层(共15层),暂无数据,87.8㎡,东南,钢混结构,其他,,有,有步行街市、711便利店、OK便利店~、美容院、美发店、面包店；会所(羽毛球场、乒乓球场、大型足交通球场地、篮球场地)等生活配套设施完善！还有云门商场~、商场内有电影院~、东海酒家~、盒马生鲜等；小区有四大银行~、华夏银行~、民生银行~、平安银行~、招商银..,公交车总站~、线路包括804路、886路、805路、799路、920路、922路、924路、926路、509路、66路、803路等数十几条公交路线；地铁线路：14号地铁线~、2号地铁线~、3号地铁线。
中楼层看湖景~、格局方正一梯三户,568,30111,白云,3室2厅3卫,188.64㎡,平层,板楼,中楼层(共9层),暂无数据,169.32㎡,西南,钢混结构,其他,,有,区楼下有华润~、钱大妈~、健身房都有~、3公里范围内有金铂广场~、太阳城~、医院三甲医院南方医院,小区离华南高速路口入口处1.5公里~、途径小区的公交车有：504.747.792A.792.862B.B6等公交线路~、出行方便。两站到同和地铁站
业主诚心放卖~、户型方正实用~、通风采光好,255,27120,白云,2室2厅1卫,94.03㎡,平层,塔楼,高楼层(共21层),暂无数据,70.12㎡,南,钢混结构,其他,,有,地铁6号线离小区800米~、地铁12号线正在建设中~、预计2025年开通~、有永旺梦乐城~、金铂等等~、小区楼下有多家生鲜,公交283路、12路、276路直达市区~、公交790直达地铁站和金沙洲内。地铁6号线已开通~、地铁12号线2025年开通。出行便利！
花季小区电梯方正二房~、东南向。,228,28865,白云,2室1厅1卫,78.99㎡,平层,塔楼,低楼层(共14层),暂无数据,暂无,西南,钢混结构,简装,,有,此房距离游泳池100米~、距离篮球场200米~、距离市场300米~、距离医院300米~、距离雕塑公园,此房楼下11号线地铁口上盖~、距离11号线50米距离中医学院200米~、~、距离5号线1公里
此房满五年 厅直出阳台 安静 采光充足 小区环境好,100,18840,白云,2室1厅1卫,53.08㎡,平层,塔楼,低楼层(共6层),暂无数据,暂无,西南,钢混结构,其他,,,,凰岗总站：17路280路夜2路夜3路521路126路476路总站~、交通便捷
金碧新城 高层大两房 户型方正 采光好,210,28075,白云,2室1厅1卫,74.8㎡,平层,塔楼,高楼层(共27层),暂无数据,暂无,东北,钢混结构,精装,,有,有月亮弯游泳池、罗马音乐喷泉、环型跑道、蓝球场、网球场、会所、市场、银行、好又多、啃德基、国美电器、便利店、麦当劳、美宜家、7-11便利店、石井广场、社区医疗门诊等,金碧新城公交路线金碧新城总站:7路车63路车小坪南站:259~、539~、8号线地铁小坪站G出口。途经石井站线路126~、254~、280~、291B425~、519~、524~、556~、563~、308~、318~、41乡村巴士1乡村巴士2夜26
云山居 2室1厅 东南,140,18156,白云,2室1厅1卫,77.11㎡,平层,塔楼,高楼层(共6层),暂无数据,70.82㎡,东南,钢混结构,简装,,,,
金域蓝湾 3室1厅 东北,512,54620,白云,3室1厅2卫,93.74㎡,平层,塔楼,高楼层(共34层),暂无数据,暂无,东北,钢混结构,其他,,有,,
保利瀚海东南大三房 豪花园宽敞阳台少放盘 手快有,580,45004,白云,3室2厅2卫,128.88㎡,平层,塔楼,低楼层(共40层),暂无数据,暂无,东南,钢混结构,精装,,有,,
锦云峰精装3房 总Jia低 上车容易 业主诚心卖,298,31889,白云,3室2厅2卫,93.45㎡,平层,塔楼,低楼层(共32层),暂无数据,75.55㎡,北,钢混结构,精装,,有,有菜市场、711便利店、OK便利店~、美容院、美发店、面包店；会所(羽毛球场、乒乓球场、大型足交通球场地、篮球场地)等生活配套设施完善！还有出名的云门商场~、商场内有电影院~、东海酒家~、盒马生鲜等~、连着有云里、云悦一条商业街,有公交76路、803路、922路、509路等线路地铁2号线地铁3号线和14号地铁嘉禾站交通方便
云山诗意二期 楼龄新 南向三房两卫 望花园安静不吵,445,38126,白云,3室1厅2卫,116.72㎡,平层,塔楼,低楼层(共15层),暂无数据,94.22㎡,南,钢混结构,精装,,有,,小区西门距离地铁2号线黄边站300米~、东门距离地铁3号线800米公交车站~、38路~、743路~、798路等等多路公交车~、通往市区方。
梅园新居 1室1厅 东,110,22965,白云,1室1厅1卫,47.9㎡,平层,塔楼,低楼层(共8层),暂无数据,42.92㎡,东,钢混结构,其他,,,,
江岸花园 东南向三房 安静看花园 方便约看,338,35187,白云,3室2厅2卫,96.06㎡,平层,塔楼,中楼层(共33层),暂无数据,暂无,东南南,钢混结构,其他,,有,一、饮食：麦当劳、金汇景海鲜酒家、湘村馆、金沙喜宴大酒楼等；二、商场：华润、永旺梦乐城；三、公园：浔峰山森林公园、滨江公园；四、医院：金沙洲首家三甲-广州中医药大学附属医院,小区楼下有便民车与658公交车~、都可到浔峰岗地铁站~、江边也有公交车站~、彩滨北路站~、290、55、12、276、283、885、429、830、42等16条公交线路；地铁6号线始发站浔峰岗站。
紫薇花园 4室1厅 南,430,33655,白云,4室1厅2卫,127.77㎡,平层,塔楼,高楼层(共21层),暂无数据,106.6㎡,南,钢混结构,其他,,有,,
云山诗意 设计之都 单边位东向望白云山 安静格局实用,380,37940,白云,3室2厅1卫,100.16㎡,平层,塔楼,中楼层(共18层),暂无数据,80.55㎡,东北,钢混结构,其他,,有,建设银行工商银行平安银行在小区一层卜蜂莲花市八金碧云山新天地中山博济医院三甲医院美宜佳便利店美容院三家健身房小区自带泳池等生活配套设施,云山诗意小区位于黄边北路~、距离地铁2号线黄边站300米(黄边地铁站a口)~、距离地铁3号线白云大道北站800米~、还有多路公交车743~、38~、798等途经小区大门直到市区各地~、交通便利
新市广场高层两房 采光通风好视野开阔,120,16557,白云,2室2厅1卫,72.48㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,,小区门口就有很多公交车~、地铁2号线自行车8分~、而且小区旁边还有便民车直接到地铁口~、小区FJ的12-14号地铁线明年可以开通。
星汇金沙雅筑 南向大2房 户型方正方便看房 浔峰岗A口,210,22334,白云,2室1厅1卫,94.03㎡,平层,塔楼,低楼层(共21层),暂无数据,70.12㎡,南,钢混结构,精装,,有,：地铁6号线离小区800米~、地铁12号线正在建设中~、预计2025年开通~、有永旺梦乐城~、金铂等等~、小区楼下有多家生鲜,公交283路、12路、276路直达市区~、公交790直达地铁站和金沙洲内。地铁6号线已开通~、地铁12号线2025年开通。出行便利！
此房满五年 户型格局好 阳台视野景观好 通风采光足,219,26951,白云,3室2厅1卫,81.26㎡,平层,塔楼,中楼层(共5层),暂无数据,暂无,西南,钢混结构,简装,,,小区在白云山脚下~、距离白云山元下田门侧门100米~、安华汇300米~、陈田花园250米,小区门口就有公交站~、距离地铁站3号线永泰站1公里~、白云大道北1.2公里~、距离2号线黄边站1.5公里~、江夏站2公里
万科峯境 4室2厅 南,795,59851,白云,4室2厅2卫,132.83㎡,平层,塔楼,高楼层(共17层),暂无数据,106.42㎡,南,钢混结构,精装,,有,,
万科峯境 2室1厅 西,375,46573,白云,2室1厅1卫,80.52㎡,平层,塔楼,中楼层(共17层),暂无数据,暂无,西,钢混结构,精装,,有,,
丝绸大厦 位置好 交通便利 有电梯,180,23107,白云,2室2厅1卫,77.9㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,其他,,,一圈都是配套：1、免费的同德公园在小区隔壁；2、娱乐购物：悦汇城、新都汇购物广场、骏盈广场、祺利广场、德广场；3、饮食：海底捞、肯德基、必胜客、麦当劳、富盛大酒楼等；4、市场：侨德市场、鹅掌坦市场；5、休闲：爱禧影城、哈艺时尚影城等,
标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
春兰花园 南向三房两卫 望花园 有20平方花园,350,33791,白云,3室2厅2卫,103.58㎡,平层,塔楼,低楼层(共9层),暂无数据,93.34㎡,南,钢混结构,精装,,有,地铁：三号线北延线。娱乐：太阳城广场~、佳润广场~、摩登商场~、梅花园广场等等~、君华香柏广场。医疗：南方医院~、一五七医院~、三九脑科医院。银行：工商银行~、建设银行~、农业银行~、中国银行~、广发银行。,地铁口：3号线延长线京溪南方医院地铁口；公交：京溪路站：126~、502~、83等一五七医院站：B6~、806~、862~、179~、219等主干道：小区南门京溪路接驳沙太北路~、广州大道北。
电梯南北对流~、户型方正~、厅出阳台。,165,19442,白云,2室1厅1卫,84.87㎡,平层,塔楼,低楼层(共15层),暂无数据,暂无,南北,钢混结构,简装,,有,商场购物易初莲花购物创诚购物商场快快乐购物广博购物银行工商银行农业银行农村信用合作社邮政储蓄娱乐汇成休闲娱乐小区内部配套篮球场停车场会所餐厅羽毛球场,公交车：德康路站、横滘小区站、槎头(西槎路)站、聚龙工业区站、同德围站、石槎路口站、石槎路站~、途经线路包括175路、176路、17路、215路、228路、238路、259路、241、424路、524路、539路、545路、614路、62路、63路、7路、832路、高峰快线2~、地铁8。
岭南新世界 4室2厅 东南 南,480,43546,白云,4室2厅2卫,110.23㎡,平层,塔楼,高楼层(共18层),暂无数据,91.94㎡,东南南,钢混结构,其他,,有,,
广州富力城 看绿植的视野舒适~、,249.8,26691,白云,3室2厅1卫,93.59㎡,平层,塔楼,低楼层(共12层),暂无数据,72.95㎡,南,钢混结构,精装,,有,广州富力城商城：大型商场~、ATM:中国邮政储蓄银行~、建设银行~、交通银行~、广州农商银行内部配套：足球场~、篮球场~、网球场~、游乐场~、风情街~、会所~、洗衣店~、户外露天游泳池~、幼儿园,公交：511路、523路、539路、834路、840路、21路、127路、978路~、地铁：2号线嘉禾望岗站、3号线嘉禾望岗站
